source,target,relationship,interaction_type,since,strength,type,data_flow
thermal_01,occupancy_01,feeds_data,heat_signature,2024,0.9,sensor_to_processor,bidirectional
motion_01,occupancy_01,feeds_data,movement_patterns,2024,0.95,sensor_to_processor,unidirectional
sound_01,privacy_filter,requires_filtering,audio_anonymization,2024,0.8,privacy_protection,bidirectional
pressure_01,pattern_analyzer,feeds_data,weight_distribution,2024,0.7,sensor_to_analytics,unidirectional
air_01,environment_ctrl,triggers_response,air_quality_control,2024,0.85,sensor_to_control,bidirectional
light_01,environment_ctrl,triggers_response,lighting_adjustment,2024,0.8,sensor_to_control,bidirectional
vibration_01,maintenance_ai,feeds_data,structural_health,2024,0.75,diagnostic_monitoring,unidirectional
proximity_01,privacy_filter,requires_filtering,distance_anonymization,2024,0.9,privacy_protection,bidirectional
humidity_01,environment_ctrl,triggers_response,climate_control,2024,0.7,sensor_to_control,bidirectional
temp_01,environment_ctrl,triggers_response,temperature_regulation,2024,0.85,sensor_to_control,bidirectional
co2_01,alert_system,triggers_alert,air_quality_warning,2024,0.8,safety_monitoring,unidirectional
occupancy_01,privacy_filter,requires_processing,occupancy_anonymization,2024,1.0,critical_privacy,bidirectional
privacy_filter,data_processor,secure_transmission,encrypted_data,2024,1.0,security_pipeline,bidirectional
data_processor,pattern_analyzer,processed_feed,cleaned_analytics,2024,0.9,data_pipeline,unidirectional
pattern_analyzer,user_interface,visualization,usage_insights,2024,0.8,human_interface,unidirectional
environment_ctrl,alert_system,status_update,system_notifications,2024,0.7,operational_feedback,unidirectional
alert_system,user_interface,notification_display,alert_presentation,2024,0.85,user_notification,unidirectional
energy_monitor,maintenance_ai,efficiency_data,power_consumption,2024,0.75,resource_tracking,unidirectional
user_interface,network_hub,command_transmission,user_controls,2024,0.8,human_to_system,bidirectional
network_hub,data_processor,data_routing,network_management,2024,0.9,infrastructure,bidirectional
maintenance_ai,alert_system,maintenance_alerts,system_health_warnings,2024,0.7,predictive_alerts,unidirectional
thermal_01,privacy_filter,anonymization_required,heat_pattern_masking,2024,0.85,privacy_protection,bidirectional
motion_01,privacy_filter,anonymization_required,movement_pattern_masking,2024,0.9,privacy_protection,bidirectional
sound_01,pattern_analyzer,behavioral_input,audio_pattern_analysis,2024,0.6,behavioral_analytics,unidirectional
pressure_01,occupancy_01,weight_correlation,occupancy_validation,2024,0.8,sensor_fusion,unidirectional
air_01,alert_system,quality_monitoring,air_quality_alerts,2024,0.75,environmental_safety,unidirectional
light_01,pattern_analyzer,usage_correlation,lighting_behavior,2024,0.65,behavioral_analytics,unidirectional
vibration_01,alert_system,structural_alerts,building_safety_warnings,2024,0.8,safety_monitoring,unidirectional
proximity_01,occupancy_01,space_utilization,furniture_interaction,2024,0.7,spatial_analytics,unidirectional
humidity_01,pattern_analyzer,comfort_correlation,environmental_preferences,2024,0.6,behavioral_analytics,unidirectional
temp_01,pattern_analyzer,comfort_correlation,temperature_preferences,2024,0.65,behavioral_analytics,unidirectional
co2_01,environment_ctrl,ventilation_trigger,air_circulation_control,2024,0.85,automated_response,bidirectional
occupancy_01,environment_ctrl,adaptive_control,occupancy_based_adjustment,2024,0.9,intelligent_automation,bidirectional
privacy_filter,alert_system,privacy_breach_detection,security_monitoring,2024,0.95,security_critical,unidirectional
data_processor,energy_monitor,processing_load,computational_efficiency,2024,0.7,resource_optimization,unidirectional
pattern_analyzer,environment_ctrl,predictive_adjustment,behavioral_prediction,2024,0.8,machine_learning,unidirectional
environment_ctrl,energy_monitor,system_efficiency,energy_optimization,2024,0.75,sustainability,unidirectional
network_hub,privacy_filter,secure_communication,encrypted_networking,2024,0.9,security_infrastructure,bidirectional
maintenance_ai,energy_monitor,system_optimization,efficiency_recommendations,2024,0.7,optimization,unidirectional
thermal_01,motion_01,sensor_correlation,multi_modal_detection,2024,0.8,sensor_fusion,bidirectional
sound_01,vibration_01,acoustic_structural,building_response_analysis,2024,0.6,structural_monitoring,bidirectional
pressure_01,proximity_01,spatial_correlation,furniture_usage_patterns,2024,0.75,spatial_intelligence,bidirectional
air_01,humidity_01,environmental_correlation,climate_monitoring,2024,0.8,environmental_fusion,bidirectional
light_01,temp_01,comfort_correlation,thermal_visual_comfort,2024,0.7,comfort_optimization,bidirectional
co2_01,air_01,air_quality_fusion,comprehensive_air_monitoring,2024,0.85,environmental_health,bidirectional
occupancy_01,user_interface,real_time_display,live_occupancy_data,2024,0.9,operational_visibility,unidirectional
privacy_filter,user_interface,privacy_status,anonymization_confirmation,2024,0.95,transparency,unidirectional
data_processor,maintenance_ai,system_diagnostics,performance_monitoring,2024,0.8,system_health,unidirectional
pattern_analyzer,maintenance_ai,usage_patterns,predictive_modeling,2024,0.75,predictive_analytics,unidirectional
environment_ctrl,user_interface,system_status,environmental_control_feedback,2024,0.8,operational_feedback,unidirectional
alert_system,network_hub,alert_distribution,notification_routing,2024,0.85,communication,unidirectional
energy_monitor,user_interface,efficiency_display,energy_usage_visualization,2024,0.7,sustainability_reporting,unidirectional
network_hub,maintenance_ai,network_health,connectivity_monitoring,2024,0.75,infrastructure_health,unidirectional
maintenance_ai,user_interface,maintenance_schedule,predictive_maintenance_display,2024,0.7,operational_planning,unidirectional
